Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,CN,506954,all,,bo1,1.02,195,43,44,16,0.98,70%,123,33%,3,5
nobody,EDG,https://www.vlr.gg/player/3017/nobody,CN,506954,all,,bo1,0.96,208,47,44,11,1.07,67%,138,34%,5,8
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,CN,506954,all,,bo1,0.92,160,40,41,15,0.98,70%,113,27%,2,7
stew,JDG,https://www.vlr.gg/player/16924/stew,CN,506954,all,,bo1,1.26,289,65,50,9,1.3,78%,180,42%,22,12
kklin,JDG,https://www.vlr.gg/player/55828/kklin,CN,506954,all,,bo1,0.90,188,43,51,16,0.84,66%,127,32%,6,1
Z1yan,JDG,https://www.vlr.gg/player/41029/z1yan,CN,506954,all,,bo1,0.86,185,41,47,14,0.87,75%,113,41%,4,6
Babyblue,JDG,https://www.vlr.gg/player/15302/babyblue,CN,506954,all,,bo1,0.83,156,31,45,24,0.69,70%,101,25%,1,2
jkuro,JDG,https://www.vlr.gg/player/3519/jkuro,CN,506954,all,,bo1,0.81,162,38,46,17,0.83,70%,104,44%,4,6
K1ra,AG,https://www.vlr.gg/player/46748/k1ra,CN,506955,all,,bo1,1.36,223,37,21,9,1.76,83%,148,23%,9,5
Spitfires,AG,https://www.vlr.gg/player/4881/spitfires,CN,506955,all,,bo1,1.11,198,36,26,3,1.38,77%,123,32%,10,7
HanChe,AG,https://www.vlr.gg/player/42537/hanche,CN,506955,all,,bo1,1.06,200,33,29,15,1.14,72%,136,17%,4,2
deLb,AG,https://www.vlr.gg/player/10821/delb,CN,506955,all,,bo1,1.00,198,35,27,14,1.3,72%,122,35%,2,2
Shr1mp,AG,https://www.vlr.gg/player/25494/shr1mp,CN,506955,all,,bo1,0.91,157,26,28,17,0.93,66%,94,25%,2,4
yosemite,FPX,https://www.vlr.gg/player/6022/yosemite,CN,506955,all,,bo1,1.04,198,31,35,13,0.89,64%,136,26%,5,4
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,CN,506955,all,,bo1,0.88,148,23,30,10,0.77,57%,99,39%,2,5
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,CN,506955,all,,bo1,0.85,173,28,35,14,0.8,64%,107,35%,2,6
Autumn,FPX,https://www.vlr.gg/player/872/autumn,CN,506955,all,,bo1,0.84,150,24,32,9,0.75,66%,101,21%,1,1
Life,FPX,https://www.vlr.gg/player/3028/life,CN,506955,all,,bo1,0.77,169,25,35,4,0.71,57%,106,29%,10,11
Kai,TE,https://www.vlr.gg/player/37494/kai,CN,506956,all,,bo1,1.05,257,41,35,4,1.17,57%,159,29%,7,5
MarT1n,TE,https://www.vlr.gg/player/36668/mart1n,CN,506956,all,,bo1,0.90,189,29,31,7,0.94,69%,119,43%,4,4
FengF,TE,https://www.vlr.gg/player/4770/fengf,CN,506956,all,,bo1,0.81,168,23,34,9,0.68,62%,117,28%,6,4
LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,CN,506956,all,,bo1,0.80,175,23,33,15,0.7,69%,108,29%,6,2
Biank,TE,https://www.vlr.gg/player/3021/biank,CN,506956,all,,bo1,0.51,120,16,36,6,0.44,67%,79,26%,1,3
Abo,TEC,https://www.vlr.gg/player/5011/abo,CN,506956,all,,bo1,1.42,240,39,23,4,1.7,79%,163,43%,2,4
lucas,TEC,https://www.vlr.gg/player/19677/lucas,CN,506956,all,,bo1,1.22,225,33,27,15,1.22,71%,152,27%,5,4
Coco,TEC,https://www.vlr.gg/player/47629/coco,CN,506956,all,,bo1,1.17,262,37,31,13,1.19,74%,171,43%,5,3
Haodong,TEC,https://www.vlr.gg/player/4720/haodong,CN,506956,all,,bo1,1.17,208,33,23,19,1.43,76%,132,27%,1,3
TvirusLuke,TEC,https://www.vlr.gg/player/7841/tvirusluke,CN,506956,all,,bo1,0.87,176,27,28,7,0.96,76%,116,18%,5,10
cb,NOVA,https://www.vlr.gg/player/39697/cb,CN,506957,all,,bo1,1.41,263,69,44,32,1.57,81%,174,31%,10,6
Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,CN,506957,all,,bo1,1.38,259,62,43,38,1.44,85%,166,22%,9,2
GuanG,NOVA,https://www.vlr.gg/player/41054/guang,CN,506957,all,,bo1,1.00,185,48,41,7,1.17,72%,123,29%,5,2
SWERL,NOVA,https://www.vlr.gg/player/1209/swerl,CN,506957,all,,bo1,1.00,218,57,52,16,1.1,79%,148,29%,16,9
o0o0o,NOVA,https://www.vlr.gg/player/4402/o0o0o,CN,506957,all,,bo1,0.80,133,34,41,24,0.83,71%,83,24%,6,7
Juicy,WOL,https://www.vlr.gg/player/7426/juicy,CN,506957,all,,bo1,0.92,194,50,57,17,0.88,67%,125,24%,9,12
SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,CN,506957,all,,bo1,0.91,156,39,49,22,0.8,67%,108,29%,5,8
Lysoar,WOL,https://www.vlr.gg/player/37489/lysoar,CN,506957,all,,bo1,0.91,189,49,53,12,0.92,69%,117,27%,5,6
Yuicaw,WOL,https://www.vlr.gg/player/11218/yuicaw,CN,506957,all,,bo1,0.90,160,38,52,32,0.73,69%,109,39%,4,9
Spring,WOL,https://www.vlr.gg/player/14125/spring,CN,506957,all,,bo1,0.87,185,45,59,20,0.76,63%,126,30%,3,11
