Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
GodDead,GEN,https://www.vlr.gg/player/4827/goddead,Pacific,184493,all,,0.93,204.0,24,27,9,0.89,57%,137.0,29%,4.0,8.0,bo3
TS,GEN,https://www.vlr.gg/player/983/ts,Pacific,184493,all,,0.9,180.0,23,25,9,0.92,66%,111.0,19%,2.0,3.0,bo3
Meteor,GEN,https://www.vlr.gg/player/13039/meteor,Pacific,184493,all,,0.74,181.0,21,29,6,0.72,60%,118.0,25%,4.0,3.0,bo3
Sylvan,GEN,https://www.vlr.gg/player/4056/sylvan,Pacific,184493,all,,0.69,126.0,8,14,6,0.57,75%,80.0,21%,2.0,1.0,bo3
eKo,GEN,https://www.vlr.gg/player/1960/eko,Pacific,184493,all,,0.61,112.0,5,12,5,0.42,60%,64.0,14%,1.0,0.0,bo3
k1Ng,GEN,https://www.vlr.gg/player/771/k1ng,Pacific,184493,all,,0.5,126.0,12,27,7,0.44,66%,100.0,19%,0.0,7.0,bo3
Dep,ZETA,https://www.vlr.gg/player/424/dep,Pacific,184494,all,,1.01,248.0,55,54,10,1.02,62%,160.0,23%,13.0,14.0,bo3
SugarZ3ro,ZETA,https://www.vlr.gg/player/6668/sugarz3ro,Pacific,184494,all,,0.9,186.0,38,48,26,0.79,62%,119.0,28%,2.0,9.0,bo3
Laz,ZETA,https://www.vlr.gg/player/999/laz,Pacific,184494,all,,0.88,162.0,38,45,19,0.84,60%,114.0,34%,2.0,3.0,bo3
TENNN,ZETA,https://www.vlr.gg/player/1395/tennn,Pacific,184494,all,,0.85,188.0,41,49,11,0.84,67%,119.0,18%,4.0,11.0,bo3
crow,ZETA,https://www.vlr.gg/player/1000/crow,Pacific,184494,all,,0.78,163.0,32,46,14,0.7,62%,111.0,28%,1.0,4.0,bo3
ban,T1,https://www.vlr.gg/player/5129/ban,Pacific,184494,all,,1.25,261.0,58,44,12,1.32,81%,162.0,24%,11.0,5.0,bo3
Munchkin,T1,https://www.vlr.gg/player/2489/munchkin,Pacific,184494,all,,1.25,243.0,55,34,14,1.62,78%,158.0,20%,9.0,3.0,bo3
Sayaplayer,T1,https://www.vlr.gg/player/4545/sayaplayer,Pacific,184494,all,,1.17,246.0,57,41,5,1.39,71%,146.0,23%,14.0,5.0,bo3
xeta,T1,https://www.vlr.gg/player/474/xeta,Pacific,184494,all,,0.91,181.0,38,45,26,0.84,73%,118.0,25%,2.0,6.0,bo3
carpe,T1,https://www.vlr.gg/player/31207/carpe,Pacific,184494,all,,0.85,153.0,34,40,25,0.85,76%,96.0,28%,5.0,3.0,bo3
JessieVash,TS,https://www.vlr.gg/player/2334/jessievash,Pacific,184495,all,,1.24,220.0,36,27,12,1.33,71%,149.0,26%,3.0,2.0,bo3
BORKUM,TS,https://www.vlr.gg/player/2333/borkum,Pacific,184495,all,,1.05,192.0,32,30,17,1.07,82%,124.0,21%,3.0,4.0,bo3
Jremy,TS,https://www.vlr.gg/player/7405/jremy,Pacific,184495,all,,1.04,232.0,36,31,12,1.16,82%,148.0,19%,7.0,5.0,bo3
invy,TS,https://www.vlr.gg/player/8504/invy,Pacific,184495,all,,1.03,205.0,31,34,29,0.91,71%,123.0,24%,9.0,5.0,bo3
DubsteP,TS,https://www.vlr.gg/player/2679/dubstep,Pacific,184495,all,,0.95,194.0,30,32,10,0.94,67%,123.0,19%,3.0,4.0,bo3
Rb,KRX,https://www.vlr.gg/player/488/rb,Pacific,184495,all,,1.13,245.0,38,33,5,1.15,76%,160.0,25%,5.0,1.0,bo3
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Pacific,184495,all,,1.11,205.0,33,31,25,1.06,67%,126.0,28%,3.0,5.0,bo3
Zest,KRX,https://www.vlr.gg/player/772/zest,Pacific,184495,all,,1.01,181.0,30,30,13,1.0,64%,111.0,32%,4.0,2.0,bo3
stax,KRX,https://www.vlr.gg/player/485/stax,Pacific,184495,all,,0.92,174.0,23,33,31,0.7,76%,120.0,26%,2.0,4.0,bo3
BuZz,KRX,https://www.vlr.gg/player/804/buzz,Pacific,184495,all,,0.73,189.0,30,38,4,0.79,64%,118.0,17%,6.0,13.0,bo3
Monyet,GE,https://www.vlr.gg/player/8497/monyet,Pacific,184496,all,,1.33,224.0,32,21,10,1.52,67%,140.0,34%,7.0,6.0,bo3
t3xture,GE,https://www.vlr.gg/player/9196/t3xture,Pacific,184496,all,,1.24,186.0,26,19,9,1.37,79%,134.0,30%,3.0,2.0,bo3
SkRossi,GE,https://www.vlr.gg/player/4095/skrossi,Pacific,184496,all,,1.2,249.0,37,29,5,1.28,74%,162.0,30%,8.0,8.0,bo3
AYRIN,GE,https://www.vlr.gg/player/824/ayrin,Pacific,184496,all,,1.07,168.0,24,22,17,1.09,79%,96.0,17%,1.0,2.0,bo3
Bazzi,GE,https://www.vlr.gg/player/805/bazzi,Pacific,184496,all,,1.07,171.0,23,22,18,1.05,82%,102.0,15%,2.0,0.0,bo3
Anthem,DFM,https://www.vlr.gg/player/6700/anthem,Pacific,184496,all,,1.11,242.0,34,29,4,1.17,77%,162.0,32%,7.0,1.0,bo3
xnfri,DFM,https://www.vlr.gg/player/7718/xnfri,Pacific,184496,all,,0.75,145.0,20,29,13,0.69,62%,89.0,25%,2.0,1.0,bo3
takej,DFM,https://www.vlr.gg/player/1002/takej,Pacific,184496,all,,0.72,150.0,21,29,11,0.72,67%,106.0,21%,2.0,4.0,bo3
Reita,DFM,https://www.vlr.gg/player/1003/reita,Pacific,184496,all,,0.69,121.0,17,27,15,0.63,54%,89.0,37%,1.0,6.0,bo3
Seoldam,DFM,https://www.vlr.gg/player/10584/seoldam,Pacific,184496,all,,0.69,165.0,21,28,6,0.75,59%,104.0,23%,6.0,9.0,bo3
Patiphan,TLN,https://www.vlr.gg/player/2452/patiphan,Pacific,184497,all,,1.09,234.0,44,40,6,1.1,62%,155.0,23%,4.0,5.0,bo3
garnetS,TLN,https://www.vlr.gg/player/18035/garnets,Pacific,184497,all,,0.99,229.0,25,25,7,1.0,82%,160.0,29%,4.0,6.0,bo3
Crws,TLN,https://www.vlr.gg/player/3977/crws,Pacific,184497,all,,0.93,199.0,37,42,20,0.88,75%,119.0,20%,6.0,3.0,bo3
JitBoyS,TLN,https://www.vlr.gg/player/13788/jitboys,Pacific,184497,all,,0.93,177.0,31,37,20,0.84,68%,120.0,26%,1.0,4.0,bo3
foxz,TLN,https://www.vlr.gg/player/6723/foxz,Pacific,184497,all,,0.92,183.0,34,37,13,0.92,70%,120.0,23%,7.0,10.0,bo3
Sushiboys,TLN,https://www.vlr.gg/player/3342/sushiboys,Pacific,184497,all,,0.5,149.0,9,17,4,0.53,50%,102.0,19%,0.0,3.0,bo3
fl1pzjder,RRQ,https://www.vlr.gg/player/7045/fl1pzjder,Pacific,184497,all,,1.42,239.0,45,33,28,1.36,77%,161.0,34%,7.0,4.0,bo3
2GE,RRQ,https://www.vlr.gg/player/9735/2ge,Pacific,184497,all,,1.23,228.0,31,25,20,1.24,86%,146.0,38%,4.0,1.0,bo3
