Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
aspas,LOUD,https://www.vlr.gg/player/8480/aspas,Americas,167350,all,,1.05,210.0,35,32,10,1.09,71%,139.0,17%,8.0,8.0,bo3
Less,LOUD,https://www.vlr.gg/player/8447/less,EMEA,167350,all,,0.99,182.0,31,33,15,0.94,69%,137.0,28%,5.0,3.0,bo3
tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,Americas,167350,all,,0.99,177.0,32,35,20,0.91,77%,115.0,35%,0.0,2.0,bo3
s0m,NRG,https://www.vlr.gg/player/4164/s0m,Americas,167356,all,,1.23,223.0,49,37,37,1.32,87%,150.0,31%,3.0,5.0,bo3
ardiis,NRG,https://www.vlr.gg/player/98/ardiis,EMEA,167356,all,,1.17,250.0,50,38,16,1.32,80%,165.0,22%,12.0,8.0,bo3
crashies,NRG,https://www.vlr.gg/player/4/crashies,EMEA,167356,all,,1.11,207.0,39,33,24,1.18,77%,124.0,17%,5.0,1.0,bo3
Victor,NRG,https://www.vlr.gg/player/261/victor,Americas,167356,all,,1.0,205.0,41,38,21,1.08,78%,121.0,26%,7.0,5.0,bo3
FiNESSE,NRG,https://www.vlr.gg/player/817/finesse,Americas,167356,all,,0.96,194.0,43,43,24,1.0,80%,122.0,17%,7.0,8.0,bo3
Fit1nho,GIA,https://www.vlr.gg/player/292/fit1nho,EMEA,167356,all,,1.1,232.0,52,45,10,1.16,68%,158.0,27%,12.0,10.0,bo3
nukkye,GIA,https://www.vlr.gg/player/3070/nukkye,EMEA,167356,all,,0.99,170.0,36,40,28,0.9,78%,121.0,26%,1.0,1.0,bo3
Cloud,GIA,https://www.vlr.gg/player/4181/cloud,EMEA,167356,all,,0.97,198.0,38,45,9,0.84,73%,127.0,26%,9.0,4.0,bo3
hoody,GIA,https://www.vlr.gg/player/2690/hoody,EMEA,167356,all,,0.76,176.0,34,45,10,0.76,63%,121.0,22%,1.0,6.0,bo3
rhyme,GIA,https://www.vlr.gg/player/10/rhyme,EMEA,167356,all,,0.7,138.0,29,47,24,0.62,67%,101.0,31%,3.0,12.0,bo3
Less,LOUD,https://www.vlr.gg/player/8447/less,EMEA,167357,all,,1.68,309.0,49,27,16,1.81,82%,210.0,27%,8.0,2.0,bo3
tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,Americas,167357,all,,1.05,173.0,28,27,14,1.04,73%,128.0,25%,2.0,2.0,bo3
aspas,LOUD,https://www.vlr.gg/player/8480/aspas,Americas,167357,all,,0.93,186.0,28,30,10,0.93,77%,124.0,27%,6.0,4.0,bo3
cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,Americas,167357,all,,0.83,176.0,26,33,20,0.79,73%,110.0,25%,4.0,4.0,bo3
