match_id,map_num,map_name,player,org,player_id,mk2,mk3,mk4,mk5,c1v1,c1v2,c1v3,c1v4,c1v5,econ,plants,defuses,date,event
167352,113052,PearlPICK,stax,KRX,485,2,0,1,0,0,0,0,0,0,57,4,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113052,PearlPICK,Rb,KRX,488,3,1,0,0,3,1,0,0,0,71,3,1,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113052,PearlPICK,Zest,KRX,772,4,0,0,0,0,0,0,0,0,47,2,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113052,PearlPICK,BuZz,KRX,804,4,1,0,0,0,0,0,0,0,54,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113052,PearlPICK,MaKo,KRX,4462,2,1,0,0,0,0,0,0,0,55,1,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113053,AscentPICK,SouhcNi,BBL,556,1,1,0,0,0,0,0,0,0,39,1,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113053,AscentPICK,Turko,BBL,568,3,2,0,0,0,1,0,0,0,65,3,1,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113053,AscentPICK,AsLanM4shadoW,BBL,1481,1,2,0,0,1,0,0,0,0,40,1,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113053,AscentPICK,Brave,BBL,8041,1,2,0,0,0,1,0,0,0,54,1,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113053,AscentPICK,QutionerX,BBL,10161,7,1,0,0,0,0,0,0,0,52,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113053,AscentPICK,stax,KRX,485,3,1,1,0,0,0,0,0,0,66,2,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113053,AscentPICK,Rb,KRX,488,2,1,0,0,0,0,0,0,0,44,1,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113053,AscentPICK,Zest,KRX,772,3,0,1,0,1,0,0,0,0,76,1,2,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113053,AscentPICK,BuZz,KRX,804,1,1,0,0,0,0,0,0,0,52,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113053,AscentPICK,MaKo,KRX,4462,3,2,0,0,0,0,0,0,0,73,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113054,Haven,SouhcNi,BBL,556,1,2,0,0,0,0,0,0,0,49,2,1,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113054,Haven,Turko,BBL,568,0,0,0,0,0,0,0,0,0,24,2,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113054,Haven,AsLanM4shadoW,BBL,1481,2,0,0,0,0,0,0,0,0,44,1,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113054,Haven,Brave,BBL,8041,6,0,0,0,0,0,0,0,0,69,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113054,Haven,QutionerX,BBL,10161,0,2,0,0,0,0,0,0,0,42,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113054,Haven,stax,KRX,485,3,2,0,0,0,0,0,0,0,66,9,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113054,Haven,Rb,KRX,488,3,2,0,0,0,1,0,0,0,109,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113054,Haven,Zest,KRX,772,3,0,0,0,0,0,0,0,0,44,2,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113054,Haven,BuZz,KRX,804,3,2,0,0,1,0,0,0,0,70,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113054,Haven,MaKo,KRX,4462,2,0,0,0,0,0,0,0,0,61,1,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113055,LotusPICK,Zellsis,C9,729,2,1,0,0,0,0,0,0,0,59,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113055,LotusPICK,yay,C9,881,7,0,0,0,0,0,0,0,0,75,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113055,LotusPICK,vanity,C9,7870,5,0,0,0,0,0,0,0,0,47,4,2,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113055,LotusPICK,Xeppaa,C9,7871,4,1,0,0,0,0,0,0,0,69,2,1,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113055,LotusPICK,leaf,C9,7873,5,0,0,0,1,0,0,0,0,64,1,1,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113055,LotusPICK,Jinggg,PRX,7378,4,1,0,0,0,0,0,0,0,63,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113055,LotusPICK,mindfreak,PRX,9800,1,1,0,0,0,0,0,0,0,42,3,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113055,LotusPICK,f0rsakeN,PRX,9801,3,1,0,0,1,0,0,0,0,70,0,1,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113055,LotusPICK,Benkai,PRX,9802,1,1,0,0,0,0,0,0,0,45,2,1,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113055,LotusPICK,d4v41,PRX,9803,0,0,0,0,0,0,0,0,0,36,4,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113056,PearlPICK,Zellsis,C9,729,3,0,0,0,0,0,0,0,0,61,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113056,PearlPICK,yay,C9,881,4,0,0,0,0,0,0,0,0,53,3,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113056,PearlPICK,vanity,C9,7870,2,0,0,0,0,0,0,0,0,37,2,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113056,PearlPICK,Xeppaa,C9,7871,3,1,0,1,0,1,1,0,0,78,2,1,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113056,PearlPICK,leaf,C9,7873,4,1,1,0,0,0,0,0,0,103,3,1,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113056,PearlPICK,Jinggg,PRX,7378,1,0,0,0,0,0,0,0,0,62,3,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113056,PearlPICK,mindfreak,PRX,9800,2,0,0,0,0,0,0,0,0,45,0,2,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113056,PearlPICK,f0rsakeN,PRX,9801,1,0,0,0,0,0,0,0,0,54,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113056,PearlPICK,Benkai,PRX,9802,2,0,0,0,0,0,0,0,0,45,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167353,113056,PearlPICK,d4v41,PRX,9803,2,0,0,0,0,0,0,0,0,38,1,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167354,113058,PearlPICK,Mixwell,TH,93,4,0,0,0,0,0,0,0,0,53,1,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167354,113058,PearlPICK,zeek,TH,562,2,0,0,0,0,0,0,0,0,57,0,1,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167354,113058,PearlPICK,Boo,TH,1144,2,0,0,0,0,1,0,0,0,50,0,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167354,113058,PearlPICK,AvovA,TH,1507,0,0,0,0,0,0,0,0,0,36,2,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167354,113058,PearlPICK,keloqz,TH,3582,3,2,1,0,0,0,0,0,0,62,0,1,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167354,113058,PearlPICK,Boostio,EG,604,2,1,0,0,0,0,0,0,0,54,1,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167354,113058,PearlPICK,C0M,EG,619,3,1,0,0,0,1,0,0,0,44,3,1,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167354,113058,PearlPICK,BcJ,EG,864,4,0,0,0,0,0,0,1,0,43,2,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167354,113058,PearlPICK,jawgemo,EG,3993,4,0,0,0,0,0,0,1,0,51,2,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
