MatchID,step,team,action,map
184057,1,FNC,ban,Pearl
184057,2,NAVI,ban,Haven
184057,3,FNC,pick,Lotus
184057,4,NAVI,pick,Split
184057,5,FNC,ban,Ascent
184057,6,NAVI,ban,Bind
184057,7,,remains,Fracture
184058,1,VIT,ban,Pearl
184058,2,TH,ban,Split
184058,3,VIT,pick,Haven
184058,4,TH,pick,Lotus
184058,5,VIT,ban,Bind
184058,6,TH,ban,Fracture
184058,7,,remains,Ascent
184059,1,KC,ban,Pearl
184059,2,GIA,ban,Fracture
184059,3,KC,pick,Lotus
184059,4,GIA,pick,Ascent
184059,5,KC,ban,Split
184059,6,GIA,ban,Bind
184059,7,,remains,Haven
184060,1,TL,ban,Ascent
184060,2,MKOI,ban,Bind
184060,3,TL,pick,Fracture
184060,4,MKOI,pick,Split
184060,5,TL,ban,Haven
184060,6,MKOI,ban,Pearl
184060,7,,remains,Lotus
184061,1,FUT,ban,Ascent
184061,2,BBL,ban,Lotus
184061,3,FUT,pick,Pearl
184061,4,BBL,pick,Haven
184061,5,FUT,ban,Bind
184061,6,BBL,ban,Fracture
184061,7,,remains,Split
184456,1,KRX,ban,Lotus
184456,2,ZETA,ban,Fracture
184456,3,KRX,pick,Ascent
184456,4,ZETA,pick,Pearl
184456,5,KRX,ban,Split
184456,6,ZETA,ban,Icebox
184456,7,,remains,Haven
184457,1,GE,ban,Fracture
184457,2,T1,ban,Split
184457,3,GE,pick,Pearl
184457,4,T1,pick,Haven
184457,5,GE,ban,Ascent
184457,6,T1,ban,Icebox
184457,7,,remains,Lotus
184458,1,PRX,ban,Icebox
184458,2,DFM,ban,Ascent
184458,3,PRX,pick,Pearl
184458,4,DFM,pick,Lotus
184458,5,PRX,ban,Haven
184458,6,DFM,ban,Split
184458,7,,remains,Fracture
184459,1,TLN,ban,Haven
184459,2,TS,ban,Pearl
184459,3,TLN,pick,Ascent
184459,4,TS,pick,Icebox
184459,5,TLN,ban,Split
184459,6,TS,ban,Lotus
184459,7,,remains,Fracture
184460,1,GEN,ban,Icebox
184460,2,RRQ,ban,Split
184460,3,GEN,pick,Fracture
184460,4,RRQ,pick,Lotus
184460,5,GEN,ban,Ascent
184460,6,RRQ,ban,Pearl
184460,7,,remains,Haven
184461,1,ZETA,ban,Fracture
184461,2,RRQ,ban,Pearl
184461,3,ZETA,pick,Haven
184461,4,RRQ,pick,Ascent
184461,5,ZETA,ban,Icebox
184461,6,RRQ,ban,Split
184461,7,,remains,Lotus
184462,1,T1,ban,Split
184462,2,TLN,ban,Pearl
