MatchID,MapNum,WinnerOrg,Score,MatchName
183791,118970,LOUD,13-8,Regular Season: Week 4
183791,all,LOUD,2-1,Regular Season: Week 4
183792,118971,LEV,13-4,Regular Season: Week 4
183792,118972,LEV,13-3,Regular Season: Week 4
183792,all,LEV,2-0,Regular Season: Week 4
183793,118974,KRÜ,13-4,Regular Season: Week 4
183793,118975,100T,13-11,Regular Season: Week 4
183793,118976,100T,13-5,Regular Season: Week 4
183793,all,100T,2-1,Regular Season: Week 4
183794,118977,FUR,15-13,Regular Season: Week 4
183794,118978,EG,13-7,Regular Season: Week 4
183794,118979,FUR,13-10,Regular Season: Week 4
183794,all,FUR,2-1,Regular Season: Week 4
183795,118980,NRG,13-8,Regular Season: Week 4
183795,118981,C9,13-9,Regular Season: Week 4
183795,118982,C9,13-7,Regular Season: Week 4
183795,all,C9,2-1,Regular Season: Week 4
183796,118983,SEN,13-5,Regular Season: Week 4
183796,118984,SEN,13-6,Regular Season: Week 4
183796,all,SEN,2-0,Regular Season: Week 4
183797,118986,LEV,15-13,Regular Season: Week 4
183797,118987,100T,13-11,Regular Season: Week 4
183797,118988,100T,13-11,Regular Season: Week 4
183797,all,100T,2-1,Regular Season: Week 4
183798,118989,EG,13-3,Regular Season: Week 4
183798,118990,LOUD,13-10,Regular Season: Week 4
183798,118991,LOUD,13-0,Regular Season: Week 4
183798,all,LOUD,2-1,Regular Season: Week 4
183799,118992,C9,13-8,Regular Season: Week 4
183799,118993,C9,13-9,Regular Season: Week 4
183799,all,C9,2-0,Regular Season: Week 4
183800,118995,NRG,13-10,Regular Season: Week 4
183800,118996,NRG,13-4,Regular Season: Week 4
183800,all,NRG,2-0,Regular Season: Week 4
183801,118998,NRG,13-7,Regular Season: Week 5
183801,118999,NRG,13-3,Regular Season: Week 5
183801,all,NRG,2-0,Regular Season: Week 5
183802,119001,FUR,13-11,Regular Season: Week 5
183802,119002,FUR,13-7,Regular Season: Week 5
183802,all,FUR,2-0,Regular Season: Week 5
183803,119004,C9,13-4,Regular Season: Week 5
183803,119005,C9,13-6,Regular Season: Week 5
183803,all,C9,2-0,Regular Season: Week 5
183804,119007,EG,13-10,Regular Season: Week 5
183804,119008,LEV,13-10,Regular Season: Week 5
183804,119009,EG,13-10,Regular Season: Week 5
183804,all,EG,2-1,Regular Season: Week 5
183805,119010,KRÜ,13-10,Regular Season: Week 5
183805,119011,LOUD,13-11,Regular Season: Week 5
183805,119012,LOUD,13-10,Regular Season: Week 5
183805,all,LOUD,2-1,Regular Season: Week 5
183807,119013,EG,13-6,Regular Season: Week 6
183807,119014,EG,13-5,Regular Season: Week 6
183807,all,EG,2-0,Regular Season: Week 6
183808,119016,C9,13-5,Regular Season: Week 6
183808,119017,C9,13-4,Regular Season: Week 6
183808,all,C9,2-0,Regular Season: Week 6
183809,119019,LOUD,13-5,Regular Season: Week 6
183809,119020,LOUD,15-13,Regular Season: Week 6
183809,all,LOUD,2-0,Regular Season: Week 6
183810,119022,LEV,13-4,Regular Season: Week 6
183810,119023,LEV,13-4,Regular Season: Week 6
183810,all,LEV,2-0,Regular Season: Week 6
183811,119025,NRG,13-11,Regular Season: Week 6
183811,119026,FUR,13-11,Regular Season: Week 6
183811,119027,NRG,13-6,Regular Season: Week 6
183811,all,NRG,2-1,Regular Season: Week 6
183812,119028,FUR,13-10,Regular Season: Week 7
183812,119029,100T,13-7,Regular Season: Week 7
183812,119030,100T,13-11,Regular Season: Week 7
183812,all,100T,2-1,Regular Season: Week 7
183813,119031,EG,13-2,Regular Season: Week 7
183813,119032,EG,13-5,Regular Season: Week 7
183813,all,EG,2-0,Regular Season: Week 7
183814,119034,SEN,14-12,Regular Season: Week 7
183814,119035,SEN,13-10,Regular Season: Week 7
183814,all,SEN,2-0,Regular Season: Week 7
183815,119037,NRG,13-5,Regular Season: Week 7
183815,119038,NRG,13-9,Regular Season: Week 7
183815,all,NRG,2-0,Regular Season: Week 7
183816,119040,C9,13-7,Regular Season: Week 7
183816,119041,C9,13-4,Regular Season: Week 7
183816,all,C9,2-0,Regular Season: Week 7
183944,119187,FUT,13-4,Regular Season: Week 2
183944,119188,FUT,13-10,Regular Season: Week 2
183944,all,FUT,2-0,Regular Season: Week 2
